transaction_id,user_id,product_id,product_name,product_category,quantity,unit_price,total_price,currency,payment_method,status,timestamp,device_type,browser,transaction_date,transaction_year,transaction_month,transaction_day,transaction_hour,day_of_week,shipping_city,shipping_state,shipping_country,shipping_zip
9220b4b7-de43-43e9-bbd1-16bac77a0e3e,USR_6e5307cf,PRD_7f80252b,Multi-channeled directional productivity,Office Supplies,1,387.02,387.02,USD,credit_card,completed,2026-01-17 14:50:31.571192,tablet,edge,2026-01-17,2026,1,17,14,5,East Karenbury,VI,US,89148
1c3c33dc-cb2d-4647-abe6-21f614586c42,USR_21c2e424,PRD_502259af,Configurable intangible protocol,Home & Garden,1,390.15,390.15,USD,paypal,completed,2026-01-17 14:50:31.571192,desktop,edge,2026-01-17,2026,1,17,14,5,Coffeyside,MN,US,12337
1c5a3598-6345-4068-82af-25de1ebf3785,USR_89031d40,PRD_461d44c3,Open-source full-range moratorium,Books,1,367.95,367.95,USD,credit_card,completed,2026-01-17 14:50:31.571192,tablet,chrome,2026-01-17,2026,1,17,14,5,Smithside,DE,US,60110
6f21dc3e-3cb7-400c-b38a-9d8026d9bcf3,USR_ba6b2a18,PRD_0ccce8e6,Reverse-engineered non-volatile protocol,Toys & Games,3,430.24,1290.72,USD,credit_card,completed,2026-01-17 14:50:31.580502,mobile,firefox,2026-01-17,2026,1,17,14,5,Emilyview,OR,US,50442
d61fcba1-394f-4bb3-874f-a9ccd31f6833,USR_8582ddce,PRD_da877dac,Intuitive impactful flexibility,Electronics,1,270.57,270.57,USD,debit_card,completed,2026-01-17 14:50:31.580502,desktop,safari,2026-01-17,2026,1,17,14,5,Danielbury,NJ,US,03781
e888f211-1c7d-4663-aca8-7d0e0c139615,USR_611e9a92,PRD_750a9ab3,Mandatory static service-desk,Toys & Games,4,450.37,1801.48,USD,debit_card,completed,2026-01-17 14:50:31.580502,desktop,chrome,2026-01-17,2026,1,17,14,5,Rosebury,SD,US,08786
c9d98e6e-91ea-4835-85ff-eabf05b41149,USR_6f802902,PRD_8d79cce5,Secured asymmetric encoding,Office Supplies,2,405.11,810.22,USD,apple_pay,pending,2026-01-17 14:50:31.580502,tablet,firefox,2026-01-17,2026,1,17,14,5,Blankenshipport,SD,US,54017
44c5c7d6-0f3e-468d-aeaf-7af1daf410bb,USR_9d7a772e,PRD_2cb425f0,Face-to-face 24hour archive,Clothing,2,267.03,534.06,USD,paypal,completed,2026-01-17 14:50:31.580502,tablet,chrome,2026-01-17,2026,1,17,14,5,East Brandonton,ME,US,65070
3cc7700a-6b50-42a1-84a9-ed9fe2b80551,USR_9c1c6285,PRD_0df2e66f,Self-enabling systemic forecast,Office Supplies,1,232.63,232.63,USD,bank_transfer,completed,2026-01-17 14:50:31.580502,desktop,chrome,2026-01-17,2026,1,17,14,5,North Jimmyside,DC,US,51441
40a7d457-80fc-4a7a-8656-4823cf041ba4,USR_f8cf3e88,PRD_52e9ec6a,Public-key well-modulated solution,Health & Beauty,4,126.26,505.04,USD,apple_pay,completed,2026-01-17 14:50:31.580502,tablet,firefox,2026-01-17,2026,1,17,14,5,Watsonside,MT,US,77484
